"","rn","Estimate","Std. Error","z value","Pr(>|z|)","meandata","sddata","X15747","X29301","X8695","X34573"
"1","(Intercept)",-0.1674531175304,0.0486011614322698,-3.44545505900639,0.000570098756459505,1,0,1,1,1,1
"2","Eqpdays",0.00121102990393018,6.48238395956827e-05,18.6818601225041,6.95526609442985e-78,393.277625,258.126274198474,391,238,716,29
"3","Retcall",0.76648467113285,0.0709974944056703,10.7959397377217,3.59763068061156e-27,0.0403333333333333,0.196743915778622,1,0,1,0
"4","Months",-0.0156714642049309,0.00164510420676048,-9.5261225036868,1.63267777627836e-21,18.811,9.58577631856098,16,8,24,10
"5","Refurb",0.343970173823503,0.0383265576839127,8.97472130579266,2.840700235768e-19,0.146833333333333,0.3539470659493,1,0,0,0
"6","Uniqsubs",0.195386406642131,0.0251296018197057,7.77514932564177,7.535845790087e-15,1.55270833333333,1.53059991907375,2,1,1,1
"7","Mailres",-0.210021051014063,0.0277316337433989,-7.573338554713,3.63752692169569e-14,0.371041666666667,0.483093647659098,0,1,1,1
"8","Overage",0.00169891374564253,0.000183751525002212,9.24571235869786,2.33678895813639e-20,40.878331729978,94.1703180994096,0,0,0,0
"9","Mou",-0.000243476832471117,3.31079902795716e-05,-7.35402029586036,1.92332511073019e-13,516.802995825687,527.257256770963,0,466,0,793.25
"10","Creditde",-0.238373079171546,0.0419812970122589,-5.67807800463951,1.36216598590618e-08,0.118916666666667,0.323697171570913,0,1,0,0
"11","Actvsubs",-0.1817260981882,0.0347624443010432,-5.22765593277762,1.71672597831111e-07,1.355875,0.710515553939309,2,1,1,1
"12","Customer",NA,NA,NA,NA,NA,NA,1039199,1073314,1021961,1086325
"13","Revenue",NA,NA,NA,NA,NA,NA,60.325,53.715,5,34.99
"14","Churn",NA,NA,NA,NA,NA,NA,1,1,0,0
"15","pchurn.lr",NA,NA,NA,NA,NA,NA,0.767293540082873,0.365216483251222,0.709643464646323,0.336585756365545
"16","pchurn.tree",NA,NA,NA,NA,NA,NA,0.772870662460568,0.244861483467382,0.772870662460568,0.244861483467382
