,rn,Estimate,Std. Error,z value,Pr(>|z|),meandata,sddata,X15747,X29301,X8695,X34573,,,,,
1,Eqpdays,0.00121103,6.48E-05,18.68186012,6.96E-78,393.277625,258.1262742,391,238,716,29,,1.001211763,1.366972769,-0.366972769,0.366972769
2,Uniqsubs,0.195386407,0.025129602,7.775149326,7.54E-15,1.552708333,1.530599919,2,1,1,1,,1.215780681,1.348588403,-0.348588403,0.348588403
3,Overage,0.001698914,0.000183752,9.245712359,2.34E-20,40.87833173,94.1703181,0,0,0,0,,1.001700358,1.173495906,-0.173495906,0.173495906
4,Retcall,0.766484671,0.070997494,10.79593974,3.60E-27,0.040333333,0.196743916,1,0,1,0,,2.152187294,1.162765472,-0.162765472,0.162765472
5,Months,-0.015671464,0.001645104,-9.526122504,1.63E-21,18.811,9.585776319,16,8,24,10,,0.984450694,0.86051593,0.13948407,0.13948407
6,Refurb,0.343970174,0.038326558,8.974721306,2.84E-19,0.146833333,0.353947066,1,0,0,0,,1.410536564,1.129468574,-0.129468574,0.129468574
7,Actvsubs,-0.181726098,0.034762444,-5.227655933,1.72E-07,1.355875,0.710515554,2,1,1,1,,0.833829697,0.878869181,0.121130819,0.121130819
8,Mou,-0.000243477,3.31E-05,-7.354020296,1.92E-13,516.8029958,527.2572568,0,466,0,793.25,,0.999756553,0.87952356,0.12047644,0.12047644
9,Mailres,-0.210021051,0.027731634,-7.573338555,3.64E-14,0.371041667,0.483093648,0,1,1,1,,0.810567183,0.903517468,0.096482532,0.096482532
10,Creditde,-0.238373079,0.041981297,-5.678078005,1.36E-08,0.118916667,0.323697172,0,1,0,0,,0.787908684,0.925741083,0.074258917,0.074258917
11,(Intercept),-0.167453118,0.048601161,-3.445455059,0.000570099,1,0,1,1,1,1,,0.84581627,1,0,0
